NÚMERO E ANO DO REQUERIMENTO,PORTARIA DE AUTORIZAÇÃO,DENOMINAÇÃO SOCIAL DA EMPRESA,CNPJ,MARCAS,DOMÍNIOS
0001/2024,"SPA/MF nº 246, de 07 de fevereiro de 2025",KAIZEN GAMING BRASIL LTDA,46.786.961/0001-74,BETANO,betano.bet.br
0002/2024,"SPA/MF nº 2.090, de 30 de dezembro de 2024",SPRBT INTERACTIVE BRASIL LTDA,54.071.596/0001-40,SUPERBET,superbet.bet.br
0002/2025,"SPA/MF nº 2.090, de 30 de dezembro de 2025",SPRBT INTERACTIVE BRASIL LTDA,54.071.596/0001-41,MAGICJACKPOT,magicjackpot.bet.br
0002/2026,"SPA/MF nº 2.090, de 30 de dezembro de 2026",SPRBT INTERACTIVE BRASIL LTDA,54.071.596/0001-42,SUPER,super.bet.br
0003/2024,"SPA/MF nº 2.091, de 30 de dezembro 2024
(Alterada pela Portaria SPA/MF nº 1.142, de 23 de maio de 2025)","MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",34.935.286/0001-19,REI DO PITACO,reidopitaco.bet.br
0003/2025,"SPA/MF nº 2.091, de 30 de dezembro 2024
(Alterada pela Portaria SPA/MF nº 1.142, de 23 de maio de 2025)","MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",34.935.286/0001-20,PITACO,pitaco.bet.br
0003/2026,"SPA/MF nº 2.091, de 30 de dezembro 2024
(Alterada pela Portaria SPA/MF nº 1.142, de 23 de maio de 2025)","MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",34.935.286/0001-21,RdP,rdp.bet.br
0004/2024,"SPA/MF nº 247, de 07 de fevereiro de 2025",VENTMEAR BRASIL S.A.,52.868.380/0001-84,SPORTINGBET,sportingbet.bet.br
0004/2024,"SPA/MF nº 247, de 07 de fevereiro de 2026",VENTMEAR BRASIL S.A.,52.868.380/0001-85,BETBOO,betboo.bet.br
0005/2024,"SPA/MF nº 370, de 24 de fevereiro de 2025 
(Alterada pela Portaria SPA/MF nº 479, de 10 de março de 2025 e pela Portaria SPA/MF nº 755, de 08 de abril de 2025)",BIG BRAZIL TECNOLOGIA E LOTERIA S.A.,41.590.869/0001-10,BIG,big.bet.br
0005/2025,"SPA/MF nº 370, de 24 de fevereiro de 2025 
(Alterada pela Portaria SPA/MF nº 479, de 10 de março de 2025 e pela Portaria SPA/MF nº 755, de 08 de abril de 2025)",BIG BRAZIL TECNOLOGIA E LOTERIA S.A.,41.590.869/0001-11,APOSTAR,apostar.bet.br
0005/2026,"SPA/MF nº 370, de 24 de fevereiro de 2025 
(Alterada pela Portaria SPA/MF nº 479, de 10 de março de 2025 e pela Portaria SPA/MF nº 755, de 08 de abril de 2025)",BIG BRAZIL TECNOLOGIA E LOTERIA S.A.,41.590.869/0001-12,CAESARS,caesars.bet.br
0006/2024,"SPA/MF nº 2.092, de 30 de dezembro de 2024",NSX BRASIL S.A.,55.056.104/0001-00,BETNACIONAL,betnacional.bet.br
0006/2025,"SPA/MF nº 2.092, de 30 de dezembro de 2025",NSX BRASIL S.A.,55.056.104/0001-01,MR. JACK BET,mrjack.bet.br
0007/2024,"SPA/MF nº 2.093, de 30 de dezembro de 2024",APOLLO OPERATIONS LTDA,54.923.003/0001-26,KTO,kto.bet.br
0008/2024,"SPA/MF nº 371, de 24 de fevereiro de 2025",SIMULCASTING BRASIL SOM E IMAGEM S.A.,17.385.948/0001-05,BETSSON,betsson.bet.br
0009/2024,"SPA/MF nº 2.094, de 30 de dezembro de 2024",GALERA GAMING JOGOS ELETRONICOS S.A.,31.853.299/0001-50,GALERA.BET,galera.bet.br
0010/2024,"SPA/MF nº 319, de 17 de fevereiro de 2025
(Alterada pela Portaria SPA/MF nº 1.423, de 30 de junho de 2025)",F12 DO BRASIL JOGOS ELETRONICOS LTDA,51.897.834/0001-82,F12.BET,f12.bet.br
0010/2025,"SPA/MF nº 319, de 17 de fevereiro de 2025
(Alterada pela Portaria SPA/MF nº 1.423, de 30 de junho de 2025)",F12 DO BRASIL JOGOS ELETRONICOS LTDA,51.897.834/0001-83,LUVA.BET,luva.bet.br
0010/2026,"SPA/MF nº 319, de 17 de fevereiro de 2025
(Alterada pela Portaria SPA/MF nº 1.423, de 30 de junho de 2025)",F12 DO BRASIL JOGOS ELETRONICOS LTDA,51.897.834/0001-84,BRASIL.BET,brasil.bet.br
0011/2024,"SPA/MF nº 2.095, de 30 de dezembro de 2024
(Alterada pela Portaria SPA/MF nº 480, de 10 de março de 2025)",BLAC JOGOS LTDA,55.988.317/0001-70,SPORTYBET,sporty.bet.br
0012/2024,"SPA/MF nº 320, de 17 de fevereiro de 2025",EB INTERMEDIACOES E JOGOS S.A.,52.639.845/0001-25,ESTRELABET,estrelabet.bet.br
0013/2024,"SPA/MF nº 372, de 24 de fevereiro de 2025",REALS BRASIL LTDA,56.197.912/0001-50,REALS,reals.bet.br
0013/2025,"SPA/MF nº 372, de 24 de fevereiro de 2026",REALS BRASIL LTDA,56.197.912/0001-51,UX,ux.bet.br
0013/2026,"SPA/MF nº 372, de 24 de fevereiro de 2027",REALS BRASIL LTDA,56.197.912/0001-52,NETPIX,a definir
0014/2024,"SPA/MF nº 248, de 07 de fevereiro de 2025",BETFAIR BRASIL LTDA,55.229.080/0001-43,BETFAIR,betfair.bet.br
