NÚMERO E ANO DO REQUERIMENTO,PORTARIA DE AUTORIZAÇÃO,DENOMINAÇÃO SOCIAL DA EMPRESA,CNPJ,MARCAS,DOMÍNIOS
0037/2024,"SPA/MF nº 258, de 07 de fevereiro de 2025
(Alterada pela Portaria SPA/MF nº 1.426, de 30 de junho de 2025)",BETSPEED LTDA,56.061.524/0001-47,TIGER,tiger.bet.br
0037/2025,"SPA/MF nº 258, de 07 de fevereiro de 2025
(Alterada pela Portaria SPA/MF nº 1.426, de 30 de junho de 2025)",BETSPEED LTDA,56.061.524/0001-48,PQ777,pq777.bet.br
0037/2026,"SPA/MF nº 258, de 07 de fevereiro de 2025
(Alterada pela Portaria SPA/MF nº 1.426, de 30 de junho de 2025)",BETSPEED LTDA,56.061.524/0001-49,5G,5g.bet.br
0039/2024,"SPA/MF nº 468, de 10 de março de 2025",BLOW MARKETPLACE LTDA,37.486.405/0001-91,BRAVO,bravo.bet.br
0039/2025,"SPA/MF nº 468, de 10 de março de 2026",BLOW MARKETPLACE LTDA,37.486.405/0001-92,TRADICIONAL,tradicional.bet.br
0039/2026,"SPA/MF nº 468, de 10 de março de 2027",BLOW MARKETPLACE LTDA,37.486.405/0001-93,APOSTATUDO,apostatudo.bet.br
0040/2024,"SPA/MF nº 259, de 07 de fevereiro de 2025",LEVANTE BRASIL LTDA,55.045.663/0001-14,SORTE ONLINE,sorteonline.bet.br
0040/2025,"SPA/MF nº 259, de 07 de fevereiro de 2026",LEVANTE BRASIL LTDA,55.045.663/0001-15,LOTTOLAND,lottoland.bet.br
0041/2024,"SPA/MF nº 2.099, de 30 de dezembro de 2024",DIGIPLUS BRAZIL INTERACTIVE LTDA,56.060.798/0001-11,ARENAPLUS,arenaplus.bet.br
0042/2024,"SPA/MF nº 806, de 14 de abril de 2025",PIXBET SOLUÇÕES TECNOLÓGICAS LTDA.,40.633.348/0001-30,PIXBET,pix.bet.br
0042/2025,"SPA/MF nº 806, de 14 de abril de 2026",PIXBET SOLUÇÕES TECNOLÓGICAS LTDA.,40.633.348/0001-31,FLABET,fla.bet.br
0042/2026,"SPA/MF nº 806, de 14 de abril de 2027",PIXBET SOLUÇÕES TECNOLÓGICAS LTDA.,40.633.348/0001-32,BET DA SORTE,betdasorte.bet.br
0045/2024,"SPA/MF nº 373, de 24 de fevereiro de 2025",BETBR LOTERIAS LTDA,55.881.028/0001-77,APOSTOU,apostou.bet.br
0045/2025,"SPA/MF nº 373, de 24 de fevereiro de 2026",BETBR LOTERIAS LTDA,55.881.028/0001-78,B1 BET,b1bet.bet.br
0045/2026,"SPA/MF nº 373, de 24 de fevereiro de 2027",BETBR LOTERIAS LTDA,55.881.028/0001-79,BRBET,brbet.bet.br
0046/2024,"SPA/MF nº 469, de 10 de março de 2025",GORILLAS GROUP DO BRASIL LTDA,37.456.039/0001-28,BET GORILLAS,betgorillas.bet.br
